Number,Name,Party,Greatness,IQ
1,George Washington,None,41,130
2,John Adams,Federalist,28,133
3,Thomas Jefferson,Dem-Repub,39,148
4,James Madison,Dem-Repub,29,128
5,James Monroe,Dem-Repub,30,119
6,John Quincy Adams,Dem-Repub,24,165
7,Andrew Jackson,Democratic,31,120
8,Martin Van Buren,Democratic,13,127
9,William Henry Harrison,Whig,4,128
10,John Tyler,Whig,8,130
11,James K. Polk,Democratic,33,124
12,Zachary Taylor,Whig,11,120
13,Millard Fillmore,Whig,7,129
14,Franklin Pierce,Democratic,2,128
15,James Buchanan,Democratic,1,121
16,Abraham Lincoln,Republican,43,133
17,Andrew Johnson,Democratic,5,120
18,Ulysses S. Grant,Republican,21,118
19,Rutherford B. Hayes,Republican,12,128
20,James A. Garfield,Republican,14,135
21,Chester A. Arthur,Republican,16,135
22,Grover Cleveland,Democratic,23,125
23,Benjamin Harrison,Republican,10,126
24,William McKinley,Republican,25,124
25,Theodore Roosevelt,Republican,40,136
26,William Howard Taft,Republican,19,122
27,Woodrow Wilson,Democratic,37,138
28,Warren G. Harding,Republican,3,118
29,Calvin Coolidge,Republican,17,121
30,Herbert Hoover,Republican,9,125
31,Franklin D. Roosevelt,Democratic,42,134
32,Harry S. Truman,Democratic,38,123
33,Dwight D. Eisenhower,Republican,36,126
34,John F. Kennedy,Democratic,35,144
35,Lyndon B. Johnson,Democratic,32,123
36,Richard Nixon,Republican,15,126
37,Gerald Ford,Republican,20,122
38,Jimmy Carter,Democratic,18,137
39,Ronald Reagan,Republican,34,125
40,George H. W. Bush,Republican,22,125
41,Bill Clinton,Democratic,26,141
42,George W. Bush,Republican,6,120
43,Barack Obama,Democratic,27,130
